Name,white_1,white_2,red_1,red_2
IR_521,194,128,157,76
IR_522,40,31,17,5
IR_523,15,11,32,18
IR_524,1,0,0,0
IR_525,4,12,1,0
IR_526,44,8,16,10
IR_527,12,13,40,19
IR_528,7,3,1,5
IR_529,18,21,11,0
IR_530,28,48,12,10
IR_531,0,0,1,0
IR_532,64,63,48,31
IR_533,8,44,0,4
IR_534,2,1,2,0
IR_535,0,0,0,0
IR_536,7,2,6,10
IR_537,7,0,1,1
IR_538,0,0,0,0
IR_539,57,50,4,15
IR_540,27,9,18,3
IR_541,2,7,6,1
IR_542,8,0,0,0
IR_543,48,53,29,12
IR_544,9,2,3,1
IR_545,30,10,0,4
IR_546,117,121,41,103
IR_547,11,1,10,12
IR_548,52,39,30,15
IR_549,92,79,85,65
IR_550,175,134,106,72
IR_551,38,24,21,11
IR_552,6,18,14,5
IR_553,6,5,8,0
IR_554,6,2,0,2
IR_556,30,14,2,4
IR_557,6,0,5,10
IR_559,37,38,26,27
IR_560,31,20,41,7
IR_561,17,20,14,9
IR_562,55,25,25,14
IR_564,0,2,0,1
IR_567,15,8,4,11
IR_568,2,8,14,3
IR_569,10,0,5,3
IR_570,117,56,26,0
IR_571,47,40,35,10
IR_573,8,3,3,1
IR_574,5,0,0,0
IR_575,0,5,2,0
IR_576,0,1,4,3
IR_577,29,12,28,13
IR_578,33,17,13,6
IR_579,14,6,23,2
IR_581,52,1,15,1
IR_582,33,26,20,6
IR_583,183,111,87,59
IR_584,223,166,90,56
IR_585,15,1,10,6
IR_586,230,126,77,21
IR_587,2,3,0,11
IR_588,19,27,8,7
IR_589,40,9,75,25
IR_590,27,22,6,7
IR_591,31,18,10,4
IR_592,2,0,2,0
IR_594,9,0,0,0
IR_595,39,11,0,0
IR_596,212,231,100,65
IR_597,4,0,4,3
IR_598,39,23,33,10
IR_599,3,11,33,13
IR_600,3,1,1,4
IR_601,3,4,1,0
IR_602,31,14,12,4
IR_603,2,3,0,1
IR_604,37,40,37,17
IR_605,17,17,3,4
IR_606,28,26,15,16
IR_607,52,39,22,8
IR_608,8,9,22,8
IR_609,48,11,20,13
IR_610,0,2,11,3
IR_611,0,0,0,0
IR_612,29,11,4,5
IR_613,59,55,48,15
IR_614,52,34,17,13
IR_615,32,10,15,20
IR_616,23,34,26,8
IR_617,8,4,4,2
IR_618,30,17,9,8
IR_619,9,0,3,7
IR_620,28,9,0,1
IR_621,13,14,14,4
IR_622,18,16,5,2
IR_623,2,4,7,7
IR_624,3,2,1,0
IR_625,47,18,39,18
IR_626,3,2,4,0
IR_627,13,6,8,0
IR_628,0,0,11,0
IR_630,1,0,0,0
IR_631,44,33,16,19
IR_632,0,0,0,0
IR_633,15,15,6,12
IR_634,10,18,9,5
IR_635,21,7,15,5
IR_636,10,0,0,11
IR_637,2,7,10,0
IR_638,1,8,2,2
IR_639,15,31,5,6
IR_640,0,7,5,0
IR_642,1,0,1,0
IR_643,76,42,32,31
IR_644,85,58,16,30
IR_645,142,100,97,94
IR_646,120,65,104,38
IR_647,14,25,17,11
IR_648,8,37,8,20
IR_649,64,49,24,6
IR_650,59,58,47,12
IR_651,9,15,10,7
IR_652,54,50,5,7
IR_653,19,15,9,37
IR_654,3,3,0,7
IR_655,13,10,20,7
IR_656,43,35,53,25
IR_657,10,3,10,4
IR_658,8,4,0,5
IR_659,9,8,10,3
IR_660,62,17,32,26
IR_661,22,5,13,1
IR_662,10,8,6,1
IR_663,0,4,5,1
IR_664,11,0,2,1
IR_665,230,182,16,21
IR_666,132,125,99,40
IR_667,71,53,63,17
IR_668,2,20,1,15
IR_669,46,13,27,0
IR_670,4,0,0,1
IR_671,27,19,7,11
IR_672,17,21,11,45
IR_673,20,27,10,26
IR_674,52,40,50,26
IR_675,9,2,3,0
IR_677,13,7,16,8
IR_678,23,6,15,0
IR_679,28,35,70,0
IR_680,18,12,7,2
IR_682,4,11,13,7
IR_683,10,2,0,6
IR_684,53,42,6,16
IR_685,15,20,14,12
IR_686,40,43,31,27
IR_688,24,39,22,9
IR_689,16,6,3,0
IR_690,0,0,0,1
IR_691,35,7,15,12
IR_692,12,6,5,2
IR_693,15,19,14,8
IR_694,11,4,9,0
IR_695,36,37,29,24
IR_696,1,1,0,1
IR_697,85,59,44,24
IR_698,8,8,22,13
IR_699,13,4,36,13
IR_700,22,30,55,8
IR_701,105,175,79,34
IR_702,4,7,7,4
IR_703,1,5,0,0
IR_704,14,8,20,9
IR_705,12,8,11,6
IR_706,36,9,4,4
IR_707,10,7,4,1
IR_708,76,58,50,56
IR_709,10,8,6,5
IR_710,6,0,1,0
IR_711,8,11,0,10
IR_712,11,14,10,7
IR_713,14,7,14,6
IR_714,22,20,18,24
IR_716,44,12,15,4
IR_717,30,25,15,14
IR_718,121,155,108,98
IR_719,2,0,36,6
IR_720,18,9,18,6
IR_721,2,1,16,0
IR_723,2,4,2,0
IR_724,5,0,0,0
IR_725,49,50,28,19
IR_726,4,9,6,5
IR_727,3,3,2,1
IR_729,29,20,4,2
IR_730,51,41,32,22
IR_731,23,13,17,37
IR_732,44,42,1,18
IR_733,5,3,0,10
IR_734,122,123,82,35
IR_735,73,72,55,41
IR_736,0,1,3,3
IR_737,38,51,21,18
IR_739,11,6,12,5
IR_740,0,8,0,0
IR_741,14,0,5,1
IR_742,15,2,10,14
IR_743,45,17,12,15
IR_744,66,69,108,76
IR_745,48,41,16,4
IR_746,20,5,0,3
IR_747,7,2,2,1
IR_748,2,8,1,0
IR_749,28,23,19,4
IR_750,2,4,2,0
IR_752,29,15,21,13
IR_753,164,109,157,59
IR_755,29,26,2,9
IR_756,6,3,7,3
IR_757,2,0,1,0
IR_758,24,6,11,0
IR_759,7,8,11,3
IR_760,57,30,156,38
IR_761,9,20,22,22
IR_762,47,40,12,10
IR_764,229,198,153,85
IR_765,11,5,19,7
IR_766,95,81,64,32
IR_767,89,72,75,41
IR_768,1,3,1,0
IR_769,0,8,1,0
