"","white_1","white_2","red_1","red_2"
"IR_7585",68.3968513640361,60.7894749656928,82.899518986623,183.252131044247
"IR_7586",80.3496991752268,90.3157913776008,41.4497594933115,29.2587436121067
"IR_7587",0,8.68421070938469,1.0109697437393,0
"IR_7588",0,4.34210535469235,3.03290923121791,3.07986774864281
"IR_7589",23.2416485217598,32.1315796247234,13.142606668611,10.7795371202498
"IR_7590",1.99214130186513,1.73684214187694,0,15.3993387432141
"IR_7591",33.8664021317072,17.3684214187694,32.3510317996578,33.8785452350709
"IR_7592",6.64047100621709,15.6315792768924,57.6252753931404,3.07986774864281
"IR_7593",9.29665940870393,12.1578949931386,1.0109697437393,4.61980162296422
"IR_7594",9.29665940870393,18.2368424897079,8.08775794991444,1.53993387432141
"IR_7595",43.1630615404111,27.789474270031,18.1974553873075,27.7188097377853
"IR_7596",7.3045181068388,17.3684214187694,12.1316369248717,6.15973549728562
"IR_7598",4.64832970435196,3.47368428375388,9.09872769365374,1.53993387432141
"IR_7600",10.6247536099473,18.2368424897079,6.06581846243583,7.69966937160703
"IR_7601",9.96070650932564,5.21052642563081,9.09872769365374,23.0990081148211
"IR_7603",18.5933188174079,17.3684214187694,14.1535764123503,38.4983468580351
"IR_7605",277.571688059874,324.789480530987,571.197905212707,466.599963919386
"IR_7607",27.2259311254901,27.789474270031,41.4497594933115,46.1980162296422
"IR_7608",18.5933188174079,21.7105267734617,28.3071528247005,35.4184791093923
"IR_7609",45.1552028422762,46.8947378306773,74.8117610367086,44.6580823553208
"IR_7611",65.0766158609275,26.9210531990925,16.1755158998289,32.3386113607495
"IR_7612",16.6011775155427,16.5000003478309,6.06581846243583,20.0191403661783
"IR_7614",23.9056956223815,4.34210535469235,73.8007912929693,86.2362969619987
"IR_7616",7.96856520746051,6.94736856750775,12.1316369248717,0
"IR_7618",5.97642390559538,4.34210535469235,26.2852133372219,0
"IR_7619",9.96070650932564,14.763158205954,16.1755158998289,18.4792064918569
"IR_7620",3.98428260373026,2.60526321281541,11.1206671811324,27.7188097377853
"IR_7623",10.6247536099473,5.21052642563081,12.1316369248717,1.53993387432141
"IR_7624",39.8428260373026,26.9210531990925,85.9324282178409,53.8976856012492
"IR_7626",0,2.60526321281541,7.07678820617513,6.15973549728562
"IR_7627",7.96856520746051,10.4210528512616,2.02193948747861,0
"IR_7628",5.97642390559538,8.68421070938469,18.1974553873075,0
"IR_7630",30.5461666285986,37.3421060503542,37.4058805183543,16.9392726175355
"IR_7631",11.9528478111908,8.68421070938469,1.0109697437393,0
"IR_7633",4.64832970435196,0.868421070938469,8.08775794991444,3.07986774864281
