"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"IR_4680",31.6810712503363,-6.67502036862445,1.46876496221326,-4.54464842255357,5.50270222831124e-06,0.000464672632612949
"IR_4607",30.2751554563964,2.74496358401732,0.610302316012697,4.49771123588561,6.86889029259134e-06,0.000572093876424046
"IR_3882",74.6670300193826,1.55280096624042,0.345548368732362,4.49372969676241,6.99864542770529e-06,0.000575023840546597
"IR_6545",26.117951501909,-4.42651648042334,0.987306108345409,-4.48342863779257,7.34531742916055e-06,0.000587806261541554
"IR_5953",85.2850954246536,1.77332402442077,0.398235563590424,4.45295243958823,8.46975206646437e-06,0.000668780422910434
"IR_8677",63.1006235607562,1.89286336048646,0.429067076090475,4.41157913521038,1.02619434660287e-05,0.000799905336839159
"IR_827",42.5195869504709,2.30367781476623,0.523597932616701,4.39970762155899,1.0839682482694e-05,0.000834243917655434
"IR_3488",32.0483430401829,-3.92780275998802,0.896461486155557,-4.38145176412682,1.17891145279011e-05,0.000895972704120482
"IR_5448",57.8187654837529,2.25296324233933,0.516609424620023,4.36105718357041,1.29435530439802e-05,0.000959717103748773
"IR_3478",84.3099834370238,1.37935788110019,0.317943267099274,4.33837738941488,1.4353852580892e-05,0.00105146293604606
"IR_1580",24.1783235911276,3.51679106266653,0.813984575896845,4.32046400730843,1.55701452048288e-05,0.00111809308236654
"IR_4221",319.550936773186,1.09874570185082,0.254362842365291,4.31959987407637,1.56312355265059e-05,0.00111809308236654
"IR_2871",164.025011873565,1.11969843239959,0.259829478878388,4.30935872724303,1.63728607098278e-05,0.00115752317576457
"IR_1076",158.023154372612,-1.26367364475117,0.294622296915564,-4.2891310602786,1.79373508104352e-05,0.00125355279226949
"IR_800",53.9315764272075,2.30681350398759,0.538782088305824,4.28153339551665,1.85609861144915e-05,0.00128239540427396
"IR_6805",59.3334425183432,-1.93311663380426,0.455091275264712,-4.24775586541365,2.15922500593647e-05,0.00147506607147121
"IR_1595",28.4309673734295,2.5609117138058,0.60451953955325,4.23627616023521,2.27257249337391e-05,0.00153524897330149
"IR_8920",18.4950267426439,3.99232951404315,0.944476670081682,4.22702819509335,2.36798005387998e-05,0.00156492594865112
"IR_1984",18.434516523896,5.51660193351503,1.30739210248394,4.21954662494436,2.44794095562875e-05,0.00158936859541516
"IR_5436",14.9542959701296,-7.02521058924294,1.66525838756838,-4.21869101016882,2.45724749949054e-05,0.00158936859541516
"IR_9001",170.153584744869,1.20700499979628,0.286568326604504,4.21192744535958,2.53200878828808e-05,0.00162048562450437
"IR_6054",15.4394316952703,-7.07529620843378,1.68615359407202,-4.19611607940597,2.7153112061042e-05,0.00171969709719932
"IR_2791",108.953597198987,-1.22111993250721,0.291688139495958,-4.18638870479044,2.83427808849998e-05,0.00175840926306938
"IR_3798",18.4588161865136,4.15884256872741,1.00491294319296,4.13851030270672,3.49568177696996e-05,0.0021468429498967
"IR_4207",70.6897331740993,1.6239147585024,0.39473018469829,4.11398677236612,3.88883728760316e-05,0.00236441307086272
"IR_8567",50.5181509591684,1.81672066636801,0.444973291313336,4.08276339689057,4.45033265994229e-05,0.00265274731102442
"IR_6500",120.593787565293,1.30511175740239,0.321112242149952,4.06434755854912,4.81670070425115e-05,0.0028432563380434
"IR_6024",159.970686307012,1.09260583392787,0.269860272743017,4.04878355314024,5.14845311912406e-05,0.00300986490041099
"IR_7051",139.925133551126,-1.23938689492768,0.307768085242397,-4.02701564703028,5.64892746994469e-05,0.00327099800164416
"IR_1624",13.1025355456764,-6.83569003094865,1.69848527498665,-4.02458009593423,5.70770658899622e-05,0.00327385434538651
"IR_2493",114.912782059704,-1.21027219148531,0.301526555815577,-4.01381625645454,5.97448612166727e-05,0.00337814035685339
"IR_3375",66.6265708345979,-1.68819670757108,0.421085604130486,-4.00915322445444,6.09368683684909e-05,0.00337814035685339
"IR_3668",23.2180613725516,6.93230647136993,1.7284324958554,4.01074759239535,6.05267905077513e-05,0.00337814035685339
"IR_4766",68.7431486444519,1.51838610510388,0.378795988763679,4.00845349513763,6.11176709299132e-05,0.00337814035685339
"IR_5069",14.4983694574446,5.23041223305585,1.30631896801758,4.00393193478109,6.22982958098083e-05,0.00341237512183454
"IR_2041",11.2498031040508,7.3185326921186,1.84622398844071,3.96405459897622,7.36873874324488e-05,0.00400017246061865
"IR_2251",20.3556064673885,-4.99637868633451,1.26147534082789,-3.96074225521955,7.47171476962768e-05,0.00402017927427755
"IR_8461",145.970873277962,1.06966167574525,0.270977923108072,3.94741262858762,7.90003339482788e-05,0.0042133511439082
"IR_945",159.556183088982,1.28508841542134,0.328151296015919,3.91614609182891,8.99757374909536e-05,0.00475697812126085
"IR_1239",63.7916813728313,-2.71550283891523,0.698199329612593,-3.88929453773891,0.000100536042688313,0.00526947534090467
"IR_852",105.728061720285,1.12501090331002,0.290829116481025,3.86828841940736,0.000109601979766655,0.00561261993758866
"IR_9144",162.375106892741,1.17304446959802,0.304399928624823,3.85362925312579,0.000116379780672915,0.00589657555409438
"IR_3184",21.8369205865995,3.18277151959726,0.826538947786758,3.85072176951835,0.000117770232407494,0.00591771085155013
"IR_417",62.7399074420778,1.55725065086914,0.405126676178479,3.84386104997711,0.00012111359720467,0.00603582517216718
"IR_9415",12.9936544711918,5.05884898731948,1.32078334731872,3.83018834814149,0.000128045212137894,0.00632938934795445
"IR_1576",44.299315191328,1.72138509713808,0.450824975480658,3.81830020686582,0.000134374345906294,0.00656483503516922
"IR_8392",22.6627660955516,-3.24982011928514,0.851359460431913,-3.81721267023501,0.000134967825558578,0.00656483503516922
"IR_4739",93.390065991381,1.39080602400804,0.365761081483549,3.80249866488486,0.000143244038760004,0.00680409184110017
"IR_2528",60.011154626679,1.72122472869666,0.453467288239661,3.79569766846552,0.000147228832327867,0.00693915736863127
"IR_7228",116.545162782309,-1.08961376123184,0.287778787188165,-3.78628936440471,0.000152913598704915,0.00704329303125671
"IR_8633",20.487903850697,3.97420924285849,1.04931794173747,3.78742141421688,0.000152218806350443,0.00704329303125671
